date_posted,company,job_type,expected_start_date,salary_range,job_description
2025-12-31,SMBC Group,,full_time,"$139,089 - $139,089","SMBC Group is a top-tier global financial group. Headquartered in Tokyo and with a 400-year history, SMBC Group offers a diverse range of financial services, including banking, leasing, securities, credit cards, and consumer finance. The Group has more than 130 offices and 80,000 employees worldwide in nearly 40 countries. Sumitomo Mitsui Financial Group, Inc. (SMFG) is the holding company of SMBC Group, which is one of the three largest banking groups in Japan. SMFG’s shares trade on the Tokyo…"
2026-01-29,Saransh Inc,,,"$94,480 - $94,480","Job Description : At least 8-10 years of hands-on experience in Snowflake & related data platforms Working knowledge of Python, especially for automation and data orchestration use cases. Experience with SAML and SCIM integrations for identity and access management Proficiency in configuring new Snowflake accounts and setting up PrivateLink for secure connectivity. Deep understanding of Snowflake sharing capabilities, Listings (auto fulfillment), and Marketplace features. Hands-on experience wi…"
2024-08-18,Quanta Search,,,"$159,044 - $159,044","Our client is a world renowned Investment Bank with offices in NYC. WHAT IS THE OPPORTUNITY?  Our Trading Services team is responsible for developing and supporting trading platform (order management, market data, trading workflow, etc.) for equities, equity derivatives and other products  This position will provide technical leadership, develop, and maintain core trading infrastructure for various desks such as Flow Trading, Delta One, Structured Products, etc. WHAT WILL YOU DO?  Implement …"
2024-12-20,Pierce Technology Corp,contract,,"$63,919 - $63,919","As a Jr Developer specializing in Python and SQL within the Financial Services domain, you will work closely with senior developers and project managers to design, develop, test, and maintain software applications. You will support the development of data pipelines, automate processes, and help optimize performance for financial applications. Key responsibilities include writing clear and efficient code, collaborating with cross-functional teams to gather requirements, performing regular testin…"
2026-01-14,Citigroup,,,"$199,090 - $199,090","We are seeking a skilled and motivated Python and Database Developer to join our dynamic technology team. The ideal candidate will possess strong programming skills in Python, a solid understanding of database systems, and the ability to design, develop, and maintain efficient and scalable applications. This role involves working on a variety of projects, including data processing pipelines, web applications, and database integrations. Responsibilities and Duties: Data Engineering Leadership: …"
2026-01-19,Pierce Technology Corp,,,"$66,026 - $66,026","Job Description Job Description As a Jr Developer specializing in Python and SQL within the Financial Services domain, you will work closely with senior developers and project managers to design, develop, test, and maintain software applications. You will support the development of data pipelines, automate processes, and help optimize performance for financial applications. Key responsibilities include writing clear and efficient code, collaborating with cross-functional teams to gather require…"
2025-07-31,Elliot Partnership,,full_time,"$146,349 - $146,349","We are seeking a Quant Developer to work for a top tier hedge fund with a strong commitment to leveraging market innovations in technology and data to deliver high-quality returns. Working within a systematic global macro team based in New York with a focus on applying cutting edge statistical and machine learning techniques to short-term strategies in futures, swaps, and FX markets. Preferred Location: New York Principal Responsibilities Partner closely with the Senior Portfolio Manager to dev…"
2026-01-07,Eliassen Group,,,"$108,295 - $108,295","Informatica Developer with Python, Contract to hire/Hybrid NYC. New York, NY Type: Contract-to-Hire Category: Engineer Industry: Financial Services Reference ID: JN -122025-104743 Date Posted: 01/13/2026 Shortcut: http://careers.eliassen.com/vASQtX Description Recommended Jobs Description: Hybrid role | 2 days a week onsite in New York City Interview type, virtual then onsite (no travel or relocation expenses will be provided. We are seeking a Senior Informatica Developer to join the HR Techn…"
2026-02-02,Jobs via Dice,,full_time,"$79,200 - $178,100","Salary: $79,200 - 178,100 per year Requirements: 3-5 years of software development experience Proficiency in JavaScript and React for building user interfaces Familiarity with Oracle JET is preferred but not mandatory Experience in client-side and server-side development Understanding of REST APIs Preferred background in IoT development Exceptional verbal and written communication abilities Capacity to think systemically, shifting between abstract concepts and detailed execution Open-mindedness…"
2025-10-29,Elliot Partnership,,full_time,"$160,130 - $160,130","Software Systems Developer - (Linux & Python/Go) New York, NY (Hybrid, 3 days in office) Highly competitive compensation package Join an elite technology and research group at the forefront of global finance, where world-class engineering and quantitative research converge to solve some of the most complex problems in any industry. Their teams are composed of passionate problem-solvers who operate in a dynamic, large-scale IT environment. We are seeking a visionary engineer to lead critical rel…"
2026-01-16,NBCUniversal,,,"$121,133 - $121,133","Job Description We’re hiring a Senior Software Engineer who is genuinely excited about technology, continuous learning, and shaping modern engineering practices. This role is well suited to someone who thrives in environments where knowledge is openly shared and engineering teams help set technical direction. A strong interest in Python development, search technologies, B2B services, and AWS-based serverless architectures are your keys to success. This position joins our “Titles and Metadata” o…"
2026-01-28,"Computing Concepts, Inc.",,,"$70,973 - $70,973","Senior Software Engineer Broadway NY.(Hybrid) Contract to hire. Must and Should: Python, SQL, COBOL, DOS batch, Server Reporting Services referred, Visa: USA / GC - W2 position Client: R&T Deposits solution Responsibilities: Design, develop, and maintain high-quality software solutions using Python, SQL and DOS batch files. Develop and maintain complex SQL queries, stored procedures, and functions. Design and develop reports. Collaborate effectively within the development team. Qualifications: …"
2026-02-03,VSG Business Solutions LLC,,,"$114,400 - $114,400","Exp Level: 10 years Dear Partners, Enclosed below, please find detailed JD for Application Developer Requirement with our Direct Client in New York, NY (5 resources needed). Kindly email me the most qualified candidate resume in word format, along with contact information. Please note that the candidate will need to work on Citadel Information Services, Inc W2 Proficiency in programming languages like Java, C#, or Python; experience with development frameworks. Summary: Designs, codes, tests, a…"
2026-01-30,Staffingine LLC,,,"$114,400 - $135,200","Job Title: Software Engineer - Media Platform (Python/AWS) Job Location: New York, NY Job Type: Contract Job Description: Design, develop, and maintain serverless applications using AWS Lambda, Step Functions, SQS, DynamoDB, and S3 Build and deploy infrastructure using AWS CDK (Python) Develop media processing workflows including video transformation, transcoding, watermarking, and timed text operations Integrate with media processing services like AWS MediaConvert, Hybrik, and Nielsen encoding…"
2026-02-03,Eleven Recruiting & Consulting Services LLC,contract,full_time,"$135,200 - $176,800","About Eleven Recruiting We are a specialized technology staffing agency supporting professional and financial services companies. Why do we stand out in technology staffing? We listen and act as advisors for our candidates on how they can best add value, find interesting projects, and pave a path for career advancement. We advocate for the best pay, diversity in tech, and the best job fit for every candidate we place. Our client, a leading investment firm, is seeking a Full Stack Engineer to jo…"
